capture_id,scenario_id,window_start_time,window_duration,relative_time,attack_start_time,phase,attack_family,packet_count,byte_count,pps,bps,avg_packet_size,tcp_packet_count,udp_packet_count,icmp_packet_count,tcp_ratio,udp_ratio,icmp_ratio,syn_count,ack_count,rst_count,syn_ratio,ack_ratio,syn_to_ack_ratio,unique_src_ip_count,unique_dst_ip_count,unique_src_port_count,unique_dst_port_count,flow_count,many_to_one_ratio,c2_packet_count,c2_flow_count,bots_contacting_c2_count,simultaneous_src_count,burstiness_score,pps_mean_5s,bps_mean_5s,unique_src_mean_5s,flow_count_mean_5s,pps_slope_5s,bps_slope_5s,unique_src_slope_5s,flow_count_slope_5s,pps_zscore,bps_zscore,unique_src_zscore,flow_count_zscore
c2__tcp-low__60s__20260505_113048__R1_egress,tcp-low,1777969848.000000,1.000000,0.000000,1777969876.958073,normal,tcp,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
c2__tcp-low__60s__20260505_113048__R1_egress,tcp-low,1777969849.000000,1.000000,1.000000,1777969876.958073,normal,tcp,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
c2__tcp-low__60s__20260505_113048__R1_egress,tcp-low,1777969850.000000,1.000000,2.000000,1777969876.958073,normal,tcp,2,202,2.000000,1616.000000,101.000000,2,0,0,1.000000,0.000000,0.000000,0,2,0,0.000000,1.000000,0.000000,2,2,2,2,2,0.500000,2,2,1,2,10.000000,0.666667,538.666667,0.666667,0.666667,1.000000,808.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000
c2__tcp-low__60s__20260505_113048__R1_egress,tcp-low,1777969851.000000,1.000000,3.000000,1777969876.958073,normal,tcp,2,203,2.000000,1624.000000,101.500000,2,0,0,1.000000,0.000000,0.000000,0,2,0,0.000000,1.000000,0.000000,2,2,2,2,2,0.500000,2,2,1,2,10.000000,1.000000,810.000000,1.000000,1.000000,0.800000,648.800000,0.800000,0.800000,0.000000,0.000000,0.000000,0.000000
c2__tcp-low__60s__20260505_113048__R1_egress,tcp-low,1777969852.000000,1.000000,4.000000,1777969876.958073,normal,tcp,2,204,2.000000,1632.000000,102.000000,2,0,0,1.000000,0.000000,0.000000,0,2,0,0.000000,1.000000,0.000000,2,2,2,2,2,0.500000,2,2,1,2,10.000000,1.200000,974.400000,1.200000,1.200000,0.600000,488.800000,0.600000,0.600000,0.000000,0.000000,0.000000,0.000000
c2__tcp-low__60s__20260505_113048__R1_egress,tcp-low,1777969853.000000,1.000000,5.000000,1777969876.958073,normal,tcp,2,203,2.000000,1624.000000,101.500000,2,0,0,1.000000,0.000000,0.000000,0,2,0,0.000000,1.000000,0.000000,2,2,2,2,2,0.500000,2,2,1,2,10.000000,1.600000,1299.200000,1.600000,1.600000,0.400000,326.400000,0.400000,0.400000,0.816497,0.816480,0.816497,0.816497
c2__tcp-low__60s__20260505_113048__R1_egress,tcp-low,1777969854.000000,1.000000,6.000000,1777969876.958073,normal,tcp,2,203,2.000000,1624.000000,101.500000,2,0,0,1.000000,0.000000,0.000000,0,2,0,0.000000,1.000000,0.000000,2,2,2,2,2,0.500000,2,2,1,2,10.000000,2.000000,1624.000000,2.000000,2.000000,0.000000,1.600000,0.000000,0.000000,0.707107,0.707094,0.707107,0.707107
c2__tcp-low__60s__20260505_113048__R1_egress,tcp-low,1777969855.000000,1.000000,7.000000,1777969876.958073,normal,tcp,2,201,2.000000,1608.000000,100.500000,2,0,0,1.000000,0.000000,0.000000,0,2,0,0.000000,1.000000,0.000000,2,2,2,2,2,0.500000,2,2,1,2,10.000000,2.000000,1622.400000,2.000000,2.000000,0.000000,-4.000000,0.000000,0.000000,0.632456,0.610636,0.632456,0.632456
c2__tcp-low__60s__20260505_113048__R1_egress,tcp-low,1777969856.000000,1.000000,8.000000,1777969876.958073,normal,tcp,2,203,2.000000,1624.000000,101.500000,2,0,0,1.000000,0.000000,0.000000,0,2,0,0.000000,1.000000,0.000000,2,2,2,2,2,0.500000,2,2,1,2,10.000000,2.000000,1622.400000,2.000000,2.000000,0.000000,-3.200000,0.000000,0.000000,0.577350,0.581123,0.577350,0.577350
c2__tcp-low__60s__20260505_113048__R1_egress,tcp-low,1777969857.000000,1.000000,9.000000,1777969876.958073,normal,tcp,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0.000000,0,0,0,0,0.000000,1.600000,1296.000000,1.600000,1.600000,-0.400000,-324.800000,-0.400000,-0.400000,-1.870829,-1.870749,-1.870829,-1.870829
c2__tcp-low__60s__20260505_113048__R1_egress,tcp-low,1777969858.000000,1.000000,10.000000,1777969876.958073,normal,tcp,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0.000000,0,0,0,0,0.000000,1.200000,971.200000,1.200000,1.200000,-0.600000,-485.600000,-0.600000,-0.600000,-1.527525,-1.527477,-1.527525,-1.527525
c2__tcp-low__60s__20260505_113048__R1_egress,tcp-low,1777969859.000000,1.000000,11.000000,1777969876.958073,normal,tcp,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0.000000,0,0,0,0,0.000000,0.800000,646.400000,0.800000,0.800000,-0.600000,-484.000000,-0.600000,-0.600000,-1.322876,-1.322841,-1.322876,-1.322876
c2__tcp-low__60s__20260505_113048__R1_egress,tcp-low,1777969860.000000,1.000000,12.000000,1777969876.958073,normal,tcp,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0.000000,0,0,0,0,0.000000,0.400000,324.800000,0.400000,0.400000,-0.400000,-324.800000,-0.400000,-0.400000,-1.183216,-1.183189,-1.183216,-1.183216
c2__tcp-low__60s__20260505_113048__R1_egress,tcp-low,1777969861.000000,1.000000,13.000000,1777969876.958073,normal,tcp,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.080123,-1.080101,-1.080123,-1.080123
c2__tcp-low__60s__20260505_113048__R1_egress,tcp-low,1777969862.000000,1.000000,14.000000,1777969876.958073,normal,tcp,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,-0.999981,-1.000000,-1.000000
c2__tcp-low__60s__20260505_113048__R1_egress,tcp-low,1777969863.000000,1.000000,15.000000,1777969876.958073,normal,tcp,2,203,2.000000,1624.000000,101.500000,2,0,0,1.000000,0.000000,0.000000,0,2,0,0.000000,1.000000,0.000000,2,2,2,2,2,0.500000,2,2,1,2,10.000000,0.400000,324.800000,0.400000,0.400000,0.400000,324.800000,0.400000,0.400000,1.069045,1.071851,1.069045,1.069045
c2__tcp-low__60s__20260505_113048__R1_egress,tcp-low,1777969864.000000,1.000000,16.000000,1777969876.958073,normal,tcp,2,202,2.000000,1616.000000,101.000000,2,0,0,1.000000,0.000000,0.000000,0,2,0,0.000000,1.000000,0.000000,2,2,2,2,2,0.500000,2,2,1,2,10.000000,0.800000,648.000000,0.800000,0.800000,0.600000,485.600000,0.600000,0.600000,1.000000,0.992585,1.000000,1.000000
c2__tcp-low__60s__20260505_113048__R1_egress,tcp-low,1777969865.000000,1.000000,17.000000,1777969876.958073,normal,tcp,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0.000000,0,0,0,0,0.000000,0.800000,648.000000,0.800000,0.800000,0.200000,161.600000,0.200000,0.200000,-1.060660,-1.060642,-1.060660,-1.060660
c2__tcp-low__60s__20260505_113048__R1_egress,tcp-low,1777969866.000000,1.000000,18.000000,1777969876.958073,normal,tcp,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0.000000,0,0,0,0,0.000000,0.800000,648.000000,0.800000,0.800000,-0.200000,-162.400000,-0.200000,-0.200000,-1.000000,-0.999984,-1.000000,-1.000000
c2__tcp-low__60s__20260505_113048__R1_egress,tcp-low,1777969867.000000,1.000000,19.000000,1777969876.958073,pre_attack,tcp,4,404,4.000000,3232.000000,101.000000,4,0,0,1.000000,0.000000,0.000000,0,4,0,0.000000,1.000000,0.000000,3,3,3,3,4,0.666667,4,4,2,2,5.000000,1.600000,1294.400000,1.400000,1.600000,0.200000,160.000000,0.000000,0.200000,3.056868,3.043645,2.055480,3.056868
c2__tcp-low__60s__20260505_113048__R1_egress,tcp-low,1777969868.000000,1.000000,20.000000,1777969876.958073,pre_attack,tcp,4,407,4.000000,3256.000000,101.750000,4,0,0,1.000000,0.000000,0.000000,0,4,0,0.000000,1.000000,0.000000,3,3,3,3,4,0.666667,4,4,2,2,5.000000,2.000000,1620.800000,1.600000,2.000000,0.800000,651.200000,0.500000,0.800000,2.459748,2.477626,1.820364,2.459748
c2__tcp-low__60s__20260505_113048__R1_egress,tcp-low,1777969869.000000,1.000000,21.000000,1777969876.958073,pre_attack,tcp,2,204,2.000000,1632.000000,102.000000,2,0,0,1.000000,0.000000,0.000000,0,2,0,0.000000,1.000000,0.000000,2,2,2,2,2,0.500000,2,2,1,2,10.000000,2.000000,1624.000000,1.600000,2.000000,0.800000,652.000000,0.700000,0.800000,0.583460,0.593257,0.762001,0.583460
c2__tcp-low__60s__20260505_113048__R1_egress,tcp-low,1777969870.000000,1.000000,22.000000,1777969876.958073,pre_attack,tcp,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0.000000,0,0,0,0,0.000000,2.000000,1624.000000,1.600000,2.000000,-0.200000,-160.000000,-0.100000,-0.200000,-0.989949,-0.990010,-1.061446,-0.989949
c2__tcp-low__60s__20260505_113048__R1_egress,tcp-low,1777969871.000000,1.000000,23.000000,1777969876.958073,pre_attack,tcp,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0.000000,0,0,0,0,0.000000,2.000000,1624.000000,1.600000,2.000000,-1.200000,-972.000000,-0.900000,-1.200000,-0.948200,-0.948255,-1.013586,-0.948200
c2__tcp-low__60s__20260505_113048__R1_egress,tcp-low,1777969872.000000,1.000000,24.000000,1777969876.958073,pre_attack,tcp,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0.000000,0,0,0,0,0.000000,1.200000,977.600000,1.000000,1.200000,-1.000000,-814.400000,-0.800000,-1.000000,-0.911322,-0.911374,-0.971666,-0.911322
c2__tcp-low__60s__20260505_113048__R1_egress,tcp-low,1777969873.000000,1.000000,25.000000,1777969876.958073,pre_attack,tcp,2,203,2.000000,1624.000000,101.500000,2,0,0,1.000000,0.000000,0.000000,0,2,0,0.000000,1.000000,0.000000,2,2,2,2,2,0.500000,2,2,1,2,10.000000,0.800000,651.200000,0.800000,0.800000,0.000000,-1.600000,0.000000,0.000000,0.690201,0.691897,0.862662,0.690201
c2__tcp-low__60s__20260505_113048__R1_egress,tcp-low,1777969874.000000,1.000000,26.000000,1777969876.958073,pre_attack,tcp,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0.000000,0,0,0,0,0.000000,0.400000,324.800000,0.400000,0.400000,0.200000,162.400000,0.200000,0.200000,-0.914566,-0.914640,-0.973067,-0.914566
c2__tcp-low__60s__20260505_113048__R1_egress,tcp-low,1777969875.000000,1.000000,27.000000,1777969876.958073,pre_attack,tcp,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0.000000,0,0,0,0,0.000000,0.400000,324.800000,0.400000,0.400000,0.000000,0.000000,0.000000,0.000000,-0.883883,-0.883953,-0.938562,-0.883883
c2__tcp-low__60s__20260505_113048__R1_egress,tcp-low,1777969876.000000,1.000000,28.000000,1777969876.958073,pre_attack,tcp,41,4921,41.000000,39368.000000,120.024390,41,0,0,1.000000,0.000000,0.000000,7,34,7,0.170732,0.829268,0.205882,11,11,18,18,32,0.818182,27,18,9,11,10.000000,8.600000,8198.400000,2.600000,6.800000,8.000000,7711.200000,2.000000,6.200000,31.903815,37.923809,9.074852,24.712615
c2__tcp-low__60s__20260505_113048__R1_egress,tcp-low,1777969877.000000,1.000000,29.000000,1777969876.958073,attack,tcp,1415,91838,1415.000000,734704.000000,64.903180,1415,0,0,1.000000,0.000000,0.000000,700,715,700,0.494700,0.505300,0.979021,16,16,697,697,1410,0.875000,15,10,5,16,1.095406,291.600000,155139.200000,5.800000,288.800000,286.700000,150552.800000,3.900000,284.800000,191.178589,103.240033,6.907146,243.750340
c2__tcp-low__60s__20260505_113048__R1_egress,tcp-low,1777969878.000000,1.000000,30.000000,1777969876.958073,attack,tcp,1400,89600,1400.000000,716800.000000,64.000000,1400,0,0,1.000000,0.000000,0.000000,700,700,700,0.500000,0.500000,1.000000,15,15,685,685,1400,0.933333,0,0,0,15,1.000000,571.200000,298174.400000,8.400000,568.400000,421.500000,216830.400000,4.600000,421.000000,5.323823,5.241630,3.921670,5.344246
c2__tcp-low__60s__20260505_113048__R1_egress,tcp-low,1777969879.000000,1.000000,31.000000,1777969876.958073,attack,tcp,1400,89600,1400.000000,716800.000000,64.000000,1400,0,0,1.000000,0.000000,0.000000,700,700,700,0.500000,0.500000,1.000000,15,15,684,684,1398,0.933333,0,0,0,15,1.000000,851.200000,441534.400000,11.400000,848.000000,415.900000,211103.200000,3.400000,416.400000,3.719404,3.689005,3.100621,3.721140
c2__tcp-low__60s__20260505_113048__R1_egress,tcp-low,1777969880.000000,1.000000,32.000000,1777969876.958073,attack,tcp,1400,89600,1400.000000,716800.000000,64.000000,1400,0,0,1.000000,0.000000,0.000000,700,700,700,0.500000,0.500000,1.000000,15,15,695,695,1400,0.933333,0,0,0,15,1.007143,1131.200000,584894.400000,14.400000,1128.000000,270.300000,133696.000000,0.700000,272.400000,2.987631,2.970624,2.617513,2.993358
c2__tcp-low__60s__20260505_113048__R1_egress,tcp-low,1777969881.000000,1.000000,33.000000,1777969876.958073,attack,tcp,1402,89803,1402.000000,718424.000000,64.053495,1402,0,0,1.000000,0.000000,0.000000,700,702,700,0.499287,0.500713,0.997151,16,16,697,697,1402,0.875000,2,2,1,16,1.012839,1403.400000,720705.600000,15.400000,1402.000000,-2.600000,-3256.000000,0.000000,-1.600000,2.545510,2.536643,2.481566,2.549314
c2__tcp-low__60s__20260505_113048__R1_egress,tcp-low,1777969882.000000,1.000000,34.000000,1777969876.958073,attack,tcp,1402,89803,1402.000000,718424.000000,64.053495,1402,0,0,1.000000,0.000000,0.000000,700,702,700,0.499287,0.500713,0.997151,16,16,690,690,1402,0.875000,2,2,1,16,1.012839,1400.800000,717449.600000,15.400000,1400.400000,0.600000,487.200000,0.300000,0.800000,2.233148,2.226667,2.186915,2.235925
c2__tcp-low__60s__20260505_113048__R1_egress,tcp-low,1777969883.000000,1.000000,35.000000,1777969876.958073,attack,tcp,1402,89803,1402.000000,718424.000000,64.053495,1402,0,0,1.000000,0.000000,0.000000,700,702,700,0.499287,0.500713,0.997151,16,16,695,695,1402,0.875000,2,2,1,16,1.012839,1401.200000,717774.400000,15.600000,1400.800000,0.600000,487.200000,0.300000,1.000000,1.997733,1.992694,1.962311,1.999889
c2__tcp-low__60s__20260505_113048__R1_egress,tcp-low,1777969884.000000,1.000000,36.000000,1777969876.958073,attack,tcp,1400,89600,1400.000000,716800.000000,64.000000,1400,0,0,1.000000,0.000000,0.000000,700,700,700,0.500000,0.500000,1.000000,15,15,696,696,1400,0.933333,0,0,0,15,1.000000,1401.200000,717774.400000,15.600000,1401.200000,0.000000,0.000000,0.000000,0.000000,1.807439,1.801379,1.625288,1.809186
c2__tcp-low__60s__20260505_113048__R1_egress,tcp-low,1777969885.000000,1.000000,37.000000,1777969876.958073,attack,tcp,1400,89600,1400.000000,716800.000000,64.000000,1400,0,0,1.000000,0.000000,0.000000,700,700,700,0.500000,0.500000,1.000000,15,15,694,694,1400,0.933333,0,0,0,15,1.007143,1401.200000,717774.400000,15.600000,1401.200000,-0.600000,-487.200000,-0.300000,-0.600000,1.653946,1.648868,1.500057,1.655409
c2__tcp-low__60s__20260505_113048__R1_egress,tcp-low,1777969886.000000,1.000000,38.000000,1777969876.958073,attack,tcp,1404,90005,1404.000000,720040.000000,64.106125,1404,0,0,1.000000,0.000000,0.000000,700,704,700,0.498575,0.501425,0.994318,16,16,699,699,1404,0.875000,4,4,2,16,1.025641,1401.600000,718097.600000,15.600000,1401.600000,0.200000,160.800000,-0.100000,0.200000,1.530015,1.529279,1.537960,1.531272
c2__tcp-low__60s__20260505_113048__R1_egress,tcp-low,1777969887.000000,1.000000,39.000000,1777969876.958073,attack,tcp,1400,89600,1400.000000,716800.000000,64.000000,1400,0,0,1.000000,0.000000,0.000000,700,700,700,0.500000,0.500000,1.000000,15,15,695,695,1400,0.933333,0,0,0,15,1.000000,1401.200000,717772.800000,15.400000,1401.200000,0.000000,-0.800000,-0.100000,0.000000,1.410330,1.406162,1.281363,1.411428
c2__tcp-low__60s__20260505_113048__R1_egress,tcp-low,1777969888.000000,1.000000,40.000000,1777969876.958073,attack,tcp,1402,89803,1402.000000,718424.000000,64.053495,1402,0,0,1.000000,0.000000,0.000000,700,702,700,0.499287,0.500713,0.997151,16,16,700,700,1402,0.875000,2,2,1,16,1.012839,1401.200000,717772.800000,15.400000,1401.200000,0.400000,324.800000,0.200000,0.400000,1.313769,1.311796,1.335734,1.314746
c2__tcp-low__60s__20260505_113048__R1_egress,tcp-low,1777969889.000000,1.000000,41.000000,1777969876.958073,attack,tcp,1400,89600,1400.000000,716800.000000,64.000000,1400,0,0,1.000000,0.000000,0.000000,700,700,700,0.500000,0.500000,1.000000,15,15,689,689,1400,0.933333,0,0,0,15,1.000000,1401.200000,717772.800000,15.400000,1401.200000,-0.200000,-161.600000,0.000000,-0.200000,1.221387,1.217899,1.105854,1.222268
c2__tcp-low__60s__20260505_113048__R1_egress,tcp-low,1777969890.000000,1.000000,42.000000,1777969876.958073,attack,tcp,1400,89600,1400.000000,716800.000000,64.000000,1400,0,0,1.000000,0.000000,0.000000,700,700,700,0.500000,0.500000,1.000000,15,15,695,695,1400,0.933333,0,0,0,15,1.000000,1401.200000,717772.800000,15.400000,1401.200000,-0.800000,-648.000000,-0.200000,-0.800000,1.140478,1.137293,1.034292,1.141283
c2__tcp-low__60s__20260505_113048__R1_egress,tcp-low,1777969891.000000,1.000000,43.000000,1777969876.958073,attack,tcp,1400,89600,1400.000000,716800.000000,64.000000,1400,0,0,1.000000,0.000000,0.000000,700,700,700,0.500000,0.500000,1.000000,15,15,690,690,1400,0.933333,0,0,0,15,1.000000,1400.400000,717124.800000,15.200000,1400.400000,-0.200000,-162.400000,-0.100000,-0.200000,1.066217,1.063278,0.967665,1.066959
c2__tcp-low__60s__20260505_113048__R1_egress,tcp-low,1777969892.000000,1.000000,44.000000,1777969876.958073,attack,tcp,1400,89600,1400.000000,716800.000000,64.000000,1400,0,0,1.000000,0.000000,0.000000,700,700,700,0.500000,0.500000,1.000000,15,15,694,694,1400,0.933333,0,0,0,15,1.000000,1400.400000,717124.800000,15.200000,1400.400000,-0.400000,-324.800000,-0.200000,-0.400000,0.997366,0.994628,0.905081,0.998058
c2__tcp-low__60s__20260505_113048__R1_egress,tcp-low,1777969893.000000,1.000000,45.000000,1777969876.958073,attack,tcp,1402,89803,1402.000000,718424.000000,64.053495,1402,0,0,1.000000,0.000000,0.000000,700,702,700,0.499287,0.500713,0.997151,16,16,696,696,1402,0.875000,2,2,1,16,1.012839,1400.400000,717124.800000,15.200000,1400.400000,0.400000,324.800000,0.200000,0.400000,0.935808,0.934918,0.987553,0.936457
c2__tcp-low__60s__20260505_113048__R1_egress,tcp-low,1777969894.000000,1.000000,46.000000,1777969876.958073,attack,tcp,1400,89600,1400.000000,716800.000000,64.000000,1400,0,0,1.000000,0.000000,0.000000,700,700,700,0.500000,0.500000,1.000000,15,15,694,694,1400,0.933333,0,0,0,15,1.000000,1400.400000,717124.800000,15.200000,1400.400000,0.200000,162.400000,0.100000,0.200000,0.871960,0.869420,0.781604,0.872575
c2__tcp-low__60s__20260505_113048__R1_egress,tcp-low,1777969895.000000,1.000000,47.000000,1777969876.958073,attack,tcp,1404,90005,1404.000000,720040.000000,64.106125,1404,0,0,1.000000,0.000000,0.000000,700,704,700,0.498575,0.501425,0.994318,16,16,701,701,1404,0.875000,4,4,2,16,1.011396,1401.200000,717772.800000,15.400000,1401.200000,0.800000,648.000000,0.200000,0.800000,0.819937,0.820923,0.871462,0.820524
c2__tcp-low__60s__20260505_113048__R1_egress,tcp-low,1777969896.000000,1.000000,48.000000,1777969876.958073,attack,tcp,1402,89802,1402.000000,718416.000000,64.052782,1402,0,0,1.000000,0.000000,0.000000,700,702,700,0.499287,0.500713,0.997151,16,16,699,699,1402,0.875000,2,2,1,16,1.012839,1401.600000,718096.000000,15.600000,1401.600000,0.600000,484.800000,0.200000,0.600000,0.761230,0.760433,0.814823,0.761796
c2__tcp-low__60s__20260505_113048__R1_egress,tcp-low,1777969897.000000,1.000000,49.000000,1777969876.958073,attack,tcp,1402,89801,1402.000000,718408.000000,64.052068,1402,0,0,1.000000,0.000000,0.000000,700,702,700,0.499287,0.500713,0.997151,16,16,698,698,1402,0.875000,2,2,1,16,1.012839,1402.000000,718417.600000,15.800000,1402.000000,0.200000,158.400000,0.100000,0.200000,0.707441,0.706645,0.760726,0.707991
c2__tcp-low__60s__20260505_113048__R1_egress,tcp-low,1777969898.000000,1.000000,50.000000,1777969876.958073,attack,tcp,1400,89600,1400.000000,716800.000000,64.000000,1400,0,0,1.000000,0.000000,0.000000,700,700,700,0.500000,0.500000,1.000000,15,15,693,693,1400,0.933333,0,0,0,15,1.000000,1401.600000,718092.800000,15.600000,1401.600000,-0.200000,-163.200000,0.000000,-0.200000,0.651856,0.649284,0.552244,0.652396
c2__tcp-low__60s__20260505_113048__R1_egress,tcp-low,1777969899.000000,1.000000,51.000000,1777969876.958073,attack,tcp,1400,89600,1400.000000,716800.000000,64.000000,1400,0,0,1.000000,0.000000,0.000000,700,700,700,0.500000,0.500000,1.000000,15,15,693,693,1400,0.933333,0,0,0,15,1.000000,1401.600000,718092.800000,15.600000,1401.600000,-1.000000,-809.600000,-0.300000,-1.000000,0.600255,0.597709,0.503181,0.600789
c2__tcp-low__60s__20260505_113048__R1_egress,tcp-low,1777969900.000000,1.000000,52.000000,1777969876.958073,attack,tcp,1402,89802,1402.000000,718416.000000,64.052782,1402,0,0,1.000000,0.000000,0.000000,700,702,700,0.499287,0.500713,0.997151,16,16,683,683,1402,0.875000,2,2,1,16,1.012839,1401.200000,717768.000000,15.600000,1401.200000,-0.200000,-160.800000,-0.100000,-0.200000,0.552297,0.551721,0.617701,0.552829
c2__tcp-low__60s__20260505_113048__R1_egress,tcp-low,1777969901.000000,1.000000,53.000000,1777969876.958073,attack,tcp,1400,89600,1400.000000,716800.000000,64.000000,1400,0,0,1.000000,0.000000,0.000000,700,700,700,0.500000,0.500000,1.000000,15,15,681,681,1400,0.933333,0,0,0,15,1.000000,1400.800000,717444.800000,15.400000,1400.800000,-0.200000,-160.000000,-0.100000,-0.200000,0.497044,0.494372,0.390786,0.497586
c2__tcp-low__60s__20260505_113048__R1_egress,tcp-low,1777969902.000000,1.000000,54.000000,1777969876.958073,attack,tcp,1402,89803,1402.000000,718424.000000,64.053495,1402,0,0,1.000000,0.000000,0.000000,700,702,700,0.499287,0.500713,0.997151,16,16,685,685,1402,0.875000,2,2,1,16,1.012839,1400.800000,717448.000000,15.400000,1400.800000,0.400000,324.800000,0.200000,0.400000,0.448018,0.447544,0.528060,0.448573
c2__tcp-low__60s__20260505_113048__R1_egress,tcp-low,1777969903.000000,1.000000,55.000000,1777969876.958073,attack,tcp,1402,89802,1402.000000,718416.000000,64.052782,1402,0,0,1.000000,0.000000,0.000000,700,702,700,0.499287,0.500713,0.997151,16,16,693,693,1402,0.875000,2,2,1,16,1.012839,1401.200000,717771.200000,15.600000,1401.200000,0.400000,324.000000,0.200000,0.400000,0.393085,0.392557,0.482011,0.393669
c2__tcp-low__60s__20260505_113048__R1_egress,tcp-low,1777969904.000000,1.000000,56.000000,1777969876.958073,attack,tcp,1400,89600,1400.000000,716800.000000,64.000000,1400,0,0,1.000000,0.000000,0.000000,700,700,700,0.500000,0.500000,1.000000,15,15,685,685,1400,0.933333,0,0,0,15,1.000000,1401.200000,717771.200000,15.600000,1401.200000,-0.200000,-161.600000,-0.100000,-0.200000,0.329466,0.326066,0.177934,0.330112
c2__tcp-low__60s__20260505_113048__R1_egress,tcp-low,1777969905.000000,1.000000,57.000000,1777969876.958073,attack,tcp,1400,89600,1400.000000,716800.000000,64.000000,1400,0,0,1.000000,0.000000,0.000000,700,700,700,0.500000,0.500000,1.000000,15,15,681,681,1400,0.933333,0,0,0,15,1.007143,1400.800000,717448.000000,15.400000,1400.800000,-0.200000,-162.400000,-0.100000,-0.200000,0.262764,0.258789,0.068897,0.263517
c2__tcp-low__60s__20260505_113048__R1_egress,tcp-low,1777969906.000000,1.000000,58.000000,1777969876.958073,attack,tcp,1404,90005,1404.000000,720040.000000,64.106125,1404,0,0,1.000000,0.000000,0.000000,700,704,700,0.498575,0.501425,0.994318,16,16,682,682,1404,0.875000,4,4,2,16,1.011396,1401.600000,718096.000000,15.600000,1401.600000,0.200000,161.600000,-0.100000,0.200000,0.195990,0.200730,0.747620,0.196912
c2__tcp-low__60s__20260505_113048__R1_egress,tcp-low,1777969907.000000,1.000000,59.000000,1777969876.958073,attack,tcp,1400,89600,1400.000000,716800.000000,64.000000,1400,0,0,1.000000,0.000000,0.000000,700,700,700,0.500000,0.500000,1.000000,15,15,686,686,1400,0.933333,0,0,0,15,1.000000,1401.200000,717771.200000,15.400000,1401.200000,0.000000,0.800000,-0.100000,0.000000,-0.554633,-0.451334,-0.935414,-0.620174
c2__tcp-low__60s__20260505_113048__R1_egress,tcp-low,1777969908.000000,1.000000,60.000000,1777969876.958073,attack,tcp,1400,89600,1400.000000,716800.000000,64.000000,1400,0,0,1.000000,0.000000,0.000000,700,700,700,0.500000,0.500000,1.000000,15,15,686,686,1400,0.933333,0,0,0,15,1.000000,1400.800000,717448.000000,15.200000,1400.800000,0.000000,0.000000,0.000000,0.000000,-0.796030,-0.796027,-0.874475,-0.695608
